Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Rs highest degree,Respondents sex,Rs occupational prestige score (2010)
43,14,12,12,Not applicable,Junior college,Male,47
74,10,0,8,Not applicable,High school,Female,22
42,16,12,16,14,Bachelor,Male,61
63,16,16,12,14,Bachelor,Female,59
71,18,12,12,Not applicable,Graduate,Male,53
67,16,12,12,Not applicable,Bachelor,Female,53
59,13,Not applicable,6,Not applicable,High school,Female,48
43,12,Not applicable,12,Not applicable,High school,Male,35
62,8,12,12,Not applicable,Lt high school,Female,35
55,12,6,20,11,High school,Male,39
59,19,12,12,Not applicable,Graduate,Male,72
34,14,Not applicable,14,Not applicable,High school,Female,35
61,13,Don't know,12,Not applicable,High school,Female,45
44,16,16,12,14,Bachelor,Male,72
41,12,15,16,Not applicable,High school,Female,28
75,12,12,12,Not applicable,High school,Female,53
55,16,14,13,14,Bachelor,Female,64
30,16,16,16,16,Bachelor,Female,0
40,20,15,19,Not applicable,Graduate,Female,64
30,18,16,16,Not applicable,Graduate,Male,38
34,15,Not applicable,17,12,High school,Female,38
29,14,12,12,Not applicable,Junior college,Female,0
40,14,16,16,12,Junior college,Female,64
37,12,18,18,Not applicable,High school,Male,35
56,16,16,16,16,Bachelor,Female,54
82,8,8,8,Not applicable,Lt high school,Male,44
68,12,12,12,Not applicable,High school,Female,38
42,9,0,10,Not applicable,Lt high school,Female,0
40,12,12,12,Not applicable,High school,Female,48
20,14,16,17,Not applicable,High school,Male,31
74,12,Don't know,12,12,High school,Female,64
89 or older,8,19,12,12,Lt high school,Male,45
60,16,12,12,16,Bachelor,Female,60
56,16,Not applicable,16,Not applicable,Bachelor,Female,64
55,10,9,8,Not applicable,Lt high school,Female,35
65,18,12,12,20,Graduate,Male,60
71,20,14,12,Not applicable,Graduate,Female,39
34,20,16,18,Not applicable,Graduate,Male,73
45,19,12,8,12,Graduate,Male,53
50,12,No answer,No answer,No answer,High school,Female,0
65,12,12,12,Not applicable,High school,Female,35
52,12,Not applicable,10,Not applicable,High school,Male,42
62,12,12,12,Not applicable,High school,Female,24
60,18,20,16,16,Graduate,Male,57
62,16,Not applicable,8,Not applicable,Bachelor,Female,48
46,12,11,6,Not applicable,High school,Female,48
40,18,16,16,18,Graduate,Male,45
53,18,Not applicable,14,17,Graduate,Female,65
75,17,19,15,Not applicable,Bachelor,Male,53
67,16,Not applicable,18,Not applicable,Bachelor,Female,48
22,14,16,12,Not applicable,High school,Male,47
42,12,3,6,Not applicable,High school,Female,53
59,18,18,17,Not applicable,Graduate,Female,48
33,18,16,16,18,Graduate,Female,80
46,16,17,17,16,Bachelor,Male,60
55,14,7,7,Not applicable,Bachelor,Male,66
43,16,8,8,16,Bachelor,Female,33
45,14,12,12,Not applicable,High school,Female,32
23,11,Don't know,Don't know,Not applicable,Lt high school,Male,25
28,9,Not applicable,12,Not applicable,High school,Female,31
27,13,12,12,14,High school,Female,25
42,10,Don't know,11,12,Lt high school,Female,35
41,16,12,12,Not applicable,Bachelor,Female,43
64,13,8,8,Not applicable,High school,Female,48
53,12,12,12,Not applicable,Lt high school,Male,35
79,20,6,8,Not applicable,Graduate,Male,60
34,14,Not applicable,16,16,High school,Male,35
59,14,Not applicable,12,Not applicable,High school,Female,47
32,19,16,16,Not applicable,Graduate,Female,58
33,16,Not applicable,12,11,Bachelor,Female,54
35,15,Not applicable,14,Not applicable,High school,Male,0
37,16,20,20,18,Junior college,Male,39
28,16,Not applicable,14,16,Bachelor,Female,28
42,20,12,16,16,Graduate,Female,63
21,14,18,14,Not applicable,High school,Male,45
33,14,Not applicable,Don't know,Not applicable,Junior college,Female,32
37,16,14,12,16,Bachelor,Female,57
89 or older,8,Don't know,Don't know,Not applicable,Lt high school,Female,37
47,14,12,Not applicable,18,Junior college,Female,52
63,No answer,No answer,No answer,No answer,Lt high school,Female,0
71,16,8,8,12,Bachelor,Female,59
42,12,14,12,12,High school,Female,0
37,12,Not applicable,5,Not applicable,High school,Female,51
40,13,14,12,11,High school,Female,38
70,12,Not applicable,6,Not applicable,High school,Male,35
28,17,0,12,Not applicable,Bachelor,Male,60
53,13,0,6,Not applicable,High school,Female,25
46,16,Not applicable,14,19,High school,Male,25
55,18,18,16,16,Graduate,Male,55
28,18,17,16,Not applicable,Graduate,Male,67
42,16,16,16,Not applicable,Graduate,Male,75
77,19,14,9,20,Graduate,Female,51
29,16,16,16,Not applicable,Graduate,Male,72
62,12,Don't know,Don't know,Not applicable,Lt high school,Female,35
30,16,Not applicable,12,Not applicable,Bachelor,Female,0
22,14,10,14,Not applicable,High school,Male,35
69,13,11,10,13,High school,Female,42
45,16,16,20,Not applicable,Bachelor,Male,54
32,12,14,5,16,High school,Female,0
60,4,Don't know,Don't know,Not applicable,Lt high school,Female,39
48,12,Don't know,Don't know,Not applicable,Lt high school,Male,59
81,12,6,5,Not applicable,High school,Female,69
50,18,12,12,18,Graduate,Male,60
78,14,8,Don't know,10,High school,Female,53
56,18,10,11,Not applicable,Graduate,Male,63
60,14,12,9,Not applicable,High school,Male,32
23,12,14,15,Not applicable,High school,Male,43
67,12,Don't know,Don't know,Not applicable,High school,Female,46
54,16,14,12,12,Bachelor,Female,51
62,14,14,13,16,Junior college,Female,45
55,14,8,10,Not applicable,Junior college,Female,64
56,12,12,12,18,High school,Female,47
58,14,Not applicable,15,Not applicable,Junior college,Male,38
74,12,12,12,Not applicable,High school,Female,31
70,16,12,16,20,Bachelor,Male,31
35,17,12,13,16,Bachelor,Male,53
65,8,Not applicable,Don't know,8,Lt high school,Male,50
42,14,Don't know,Don't know,12,Junior college,Female,52
48,13,Not applicable,12,12,High school,Female,36
32,13,Not applicable,18,Not applicable,High school,Male,44
56,12,10,12,12,High school,Female,38
61,12,12,9,12,High school,Female,53
76,16,8,12,Not applicable,Bachelor,Female,31
59,16,16,16,16,Bachelor,Female,48
69,16,10,12,Not applicable,Bachelor,Male,49
48,18,14,12,Not applicable,Graduate,Male,64
68,20,Not applicable,16,16,Graduate,Female,71
39,16,16,16,Not applicable,Bachelor,Female,36
38,18,Not applicable,18,18,Graduate,Male,51
39,18,18,16,Not applicable,Graduate,Female,67
52,12,0,6,9,High school,Female,0
41,20,16,14,20,Graduate,Female,72
60,17,14,12,14,Bachelor,Male,73
69,15,16,16,18,High school,Male,72
60,13,Not applicable,12,16,High school,Male,52
22,12,4,12,Not applicable,High school,Female,38
33,16,13,14,Not applicable,High school,Male,45
35,16,12,12,16,Bachelor,Female,25
38,12,3,0,6,Lt high school,Female,22
25,15,0,0,Not applicable,High school,Female,64
55,14,7,12,Not applicable,Junior college,Male,44
34,17,16,12,13,High school,Male,61
49,11,Not applicable,12,Not applicable,Lt high school,Male,25
18,12,16,16,Not applicable,High school,Male,0
56,12,10,8,Not applicable,High school,Male,59
19,12,Not applicable,12,Not applicable,High school,Male,33
34,12,Not applicable,16,Not applicable,High school,Male,25
26,17,11,12,Not applicable,Bachelor,Female,52
28,14,14,12,Not applicable,High school,Male,40
59,19,6,17,Not applicable,Graduate,Female,71
39,16,12,12,Not applicable,Graduate,Female,47
77,13,6,6,Not applicable,High school,Female,0
35,12,14,12,Not applicable,High school,Female,48
46,16,12,16,Not applicable,Bachelor,Female,64
57,8,0,0,Not applicable,Lt high school,Male,48
35,11,Not applicable,6,12,Lt high school,Female,24
58,12,0,3,Not applicable,High school,Female,31
20,14,13,5,Not applicable,High school,Female,61
48,7,6,6,6,Lt high school,Female,32
51,2,Don't know,2,Not applicable,Lt high school,Female,35
18,11,Don't know,12,Not applicable,Lt high school,Female,0
18,12,12,12,Not applicable,High school,Female,0
41,12,Not applicable,12,12,High school,Female,38
51,15,14,6,13,High school,Female,24
41,6,0,6,12,Lt high school,Female,0
71,13,12,12,Not applicable,High school,Female,35
43,9,0,0,Not applicable,Lt high school,Male,44
53,16,16,5,Not applicable,Bachelor,Male,24
46,18,16,14,Not applicable,Junior college,Male,38
36,13,Not applicable,12,13,High school,Male,31
19,12,12,Not applicable,Not applicable,High school,Male,24
65,14,12,0,6,High school,Male,45
60,13,13,14,Not applicable,High school,Female,41
63,16,13,12,Not applicable,Bachelor,Female,49
36,20,14,14,20,Graduate,Male,72
40,16,20,12,16,Bachelor,Female,49
42,18,20,12,16,Graduate,Female,72
61,14,12,13,Not applicable,High school,Male,46
27,16,16,16,Not applicable,Bachelor,Male,60
52,14,Don't know,11,Not applicable,High school,Male,28
36,12,Don't know,12,Not applicable,High school,Female,25
74,16,Not applicable,Don't know,Not applicable,High school,Female,48
36,20,15,12,Not applicable,Graduate,Male,69
34,17,18,18,Not applicable,Graduate,Male,60
46,16,12,0,Not applicable,Bachelor,Male,47
21,14,16,15,Not applicable,High school,Female,31
72,11,Not applicable,9,Not applicable,Lt high school,Female,39
46,16,14,16,17,Bachelor,Male,65
21,14,12,16,Not applicable,High school,Female,18
46,13,13,12,Not applicable,High school,Male,34
53,12,12,12,Not applicable,High school,Male,49
74,18,Not applicable,9,Not applicable,Graduate,Female,61
70,6,6,6,Not applicable,Lt high school,Male,0
36,16,12,13,14,Bachelor,Female,47
57,11,12,12,12,Lt high school,Male,43
60,16,18,16,Not applicable,Bachelor,Male,48
53,12,0,3,Not applicable,Lt high school,Female,22
69,12,6,6,6,High school,Male,37
38,16,Not applicable,16,14,Bachelor,Female,46
48,14,16,12,16,High school,Female,46
30,16,19,16,Not applicable,Bachelor,Male,47
29,13,Not applicable,9,Not applicable,High school,Male,38
68,16,12,12,16,Bachelor,Female,45
64,13,16,12,11,High school,Female,29
43,16,9,9,12,Graduate,Male,39
69,12,12,12,Not applicable,High school,Female,32
47,12,16,12,14,High school,Male,38
57,12,12,12,12,High school,Male,39
50,16,Not applicable,12,16,Graduate,Male,55
25,12,11,12,Not applicable,High school,Female,24
75,14,Not applicable,12,Not applicable,High school,Male,38
46,14,12,Not applicable,14,High school,Male,50
77,10,Don't know,Don't know,Not applicable,Lt high school,Female,38
18,11,Not applicable,12,Not applicable,Lt high school,Female,0
62,12,12,12,Don't know,High school,Female,45
30,15,Don't know,Don't know,10,Junior college,Female,55
70,7,0,10,Not applicable,Lt high school,Female,32
50,3,2,4,5,Lt high school,Male,49
44,12,Don't know,0,Not applicable,High school,Female,48
33,12,6,6,12,High school,Female,47
34,19,12,13,18,Graduate,Female,59
46,16,8,12,16,Bachelor,Female,47
51,12,0,0,17,High school,Male,17
28,14,14,Not applicable,Not applicable,High school,Male,45
74,16,6,12,Not applicable,Bachelor,Male,41
29,15,Not applicable,14,Not applicable,High school,Female,33
49,11,5,5,6,Lt high school,Male,35
28,17,14,20,Not applicable,Bachelor,Female,21
48,12,10,12,Not applicable,High school,Female,31
24,12,4,12,Not applicable,High school,Female,21
51,15,Not applicable,8,Not applicable,High school,Female,39
42,16,12,12,Not applicable,Bachelor,Female,60
44,17,20,16,18,Bachelor,Male,50
33,12,Not applicable,14,12,High school,Female,31
29,12,12,16,12,High school,Male,55
48,17,16,14,18,Bachelor,Female,49
62,10,12,6,Not applicable,Lt high school,Female,25
88,12,10,17,Not applicable,High school,Female,48
65,18,14,14,18,Graduate,Male,61
28,13,Not applicable,14,14,High school,Female,38
58,14,12,14,15,Junior college,Female,0
26,13,9,12,Not applicable,High school,Male,36
61,13,12,13,13,High school,Female,39
30,13,Not applicable,4,12,High school,Female,32
22,14,20,Not applicable,Not applicable,High school,Female,22
24,12,12,12,Not applicable,High school,Female,38
29,12,Not applicable,5,Not applicable,High school,Male,24
70,13,7,14,Not applicable,High school,Male,31
34,16,Not applicable,10,Not applicable,Graduate,Male,45
66,12,14,12,20,High school,Male,69
84,12,Don't know,Don't know,Not applicable,High school,Female,64
37,16,16,16,16,Bachelor,Male,35
61,14,12,12,Not applicable,Junior college,Female,49
58,12,Not applicable,12,Not applicable,High school,Female,48
88,10,Not applicable,12,Not applicable,Lt high school,Male,24
80,1,0,1,Not applicable,Lt high school,Female,0
36,12,12,12,Not applicable,High school,Male,50
33,16,12,12,Not applicable,Bachelor,Female,48
81,16,8,6,Not applicable,Bachelor,Male,50
31,12,8,8,12,High school,Male,44
69,16,16,12,16,Bachelor,Female,55
26,16,19,16,Not applicable,Bachelor,Male,38
45,16,12,19,16,Bachelor,Male,45
54,16,12,12,16,Bachelor,Female,47
61,16,12,12,18,Bachelor,Female,31
19,13,18,18,Not applicable,High school,Male,0
58,16,6,0,Not applicable,Bachelor,Male,46
50,14,4,4,Not applicable,Junior college,Female,46
36,16,12,14,Not applicable,Bachelor,Male,40
27,12,Not applicable,5,Not applicable,High school,Female,25
51,12,5,6,Not applicable,High school,Male,44
48,18,6,2,14,Bachelor,Male,40
29,14,4,12,Not applicable,High school,Female,55
65,19,16,13,Not applicable,Graduate,Female,48
67,16,16,16,Not applicable,Bachelor,Female,55
53,16,13,12,18,Bachelor,Male,72
45,18,18,18,16,Graduate,Male,72
36,15,12,12,Not applicable,High school,Female,48
60,12,12,12,12,High school,Male,49
63,16,10,12,16,Bachelor,Female,57
52,12,14,12,Not applicable,High school,Female,53
34,13,14,18,12,High school,Male,31
58,14,12,12,14,High school,Male,24
63,12,12,12,16,High school,Male,65
71,16,12,8,Not applicable,Bachelor,Female,72
67,12,12,12,15,High school,Female,49
65,18,12,16,Not applicable,Bachelor,Female,53
39,15,Not applicable,13,Not applicable,High school,Female,46
46,12,12,13,Not applicable,High school,Female,35
83,12,Not applicable,10,Not applicable,High school,Female,47
59,17,12,12,Not applicable,Bachelor,Male,53
63,19,16,12,19,Graduate,Female,38
38,12,Not applicable,11,Not applicable,High school,Female,47
50,12,12,12,Not applicable,High school,Male,38
18,11,Not applicable,6,Not applicable,High school,Female,0
45,16,12,11,12,Bachelor,Female,45
18,11,Not applicable,18,Not applicable,Lt high school,Female,0
39,20,20,20,Not applicable,Graduate,Male,0
31,20,20,20,Not applicable,Graduate,Female,61
44,16,12,12,Not applicable,Bachelor,Female,49
46,16,12,11,16,Bachelor,Female,52
56,13,14,12,16,High school,Female,52
37,12,12,12,16,High school,Male,49
52,20,12,14,Not applicable,Graduate,Female,65
69,14,7,7,13,High school,Male,31
34,12,8,Not applicable,Not applicable,High school,Male,73
25,17,20,16,Not applicable,Bachelor,Male,74
33,8,Don't know,0,Not applicable,Lt high school,Male,36
45,12,12,12,Not applicable,High school,Female,55
57,16,12,12,19,Bachelor,Male,66
77,14,14,12,Not applicable,High school,Male,43
29,16,16,16,Not applicable,Bachelor,Male,60
58,18,Not applicable,12,Not applicable,Graduate,Male,75
42,20,18,16,16,Graduate,Male,50
65,13,12,12,Not applicable,High school,Male,33
25,16,12,12,Not applicable,Bachelor,Female,38
76,19,17,12,16,Graduate,Male,39
73,12,Not applicable,12,Not applicable,High school,Female,33
34,20,20,16,20,Graduate,Female,61
51,12,Not applicable,12,12,High school,Male,43
78,14,Not applicable,12,16,High school,Female,48
53,12,Not applicable,12,12,High school,Male,26
83,11,Don't know,Don't know,12,Lt high school,Male,27
58,7,Not applicable,11,Not applicable,Lt high school,Female,0
73,12,Don't know,Don't know,Not applicable,Lt high school,Male,28
83,10,Not applicable,8,Not applicable,High school,Female,32
86,12,Not applicable,No answer,Not applicable,High school,Male,40
70,14,No answer,No answer,Not applicable,High school,Female,60
31,17,Not applicable,12,Not applicable,Bachelor,Female,61
24,16,Not applicable,16,Not applicable,Bachelor,Female,47
42,14,20,16,Not applicable,Junior college,Male,48
34,16,18,16,16,Graduate,Female,75
70,19,14,6,Not applicable,Graduate,Female,50
37,12,Not applicable,14,Not applicable,High school,Female,0
70,18,14,12,19,Graduate,Male,66
71,12,5,10,12,High school,Male,72
26,16,16,16,Not applicable,Graduate,Female,17
54,16,16,16,16,Graduate,Male,72
40,16,16,18,16,Bachelor,Female,69
56,16,15,Not applicable,Not applicable,Bachelor,Female,49
60,20,14,14,Not applicable,Graduate,Male,44
72,16,15,16,16,Bachelor,Male,54
35,16,14,16,20,Bachelor,Female,55
55,18,Not applicable,18,16,Graduate,Male,39
28,14,16,16,14,Junior college,Female,69
77,13,Not applicable,12,Not applicable,High school,Female,35
30,12,Not applicable,12,Not applicable,High school,Female,51
67,12,5,7,Not applicable,High school,Female,47
53,12,Not applicable,15,Not applicable,High school,Female,39
37,15,Not applicable,16,14,High school,Female,36
51,14,14,14,14,Graduate,Female,39
35,12,Not applicable,11,12,High school,Female,48
60,20,16,20,18,Graduate,Female,53
68,16,17,15,15,Graduate,Male,60
43,20,13,16,16,Graduate,Male,65
36,12,12,10,16,High school,Female,51
34,9,Not applicable,Don't know,Not applicable,Lt high school,Female,35
39,18,10,6,18,Graduate,Male,43
52,14,12,10,Not applicable,Junior college,Male,72
70,12,12,12,Not applicable,High school,Male,31
60,12,12,12,14,High school,Male,56
61,13,12,12,15,High school,Female,60
32,14,12,12,14,High school,Female,37
40,16,Not applicable,12,Not applicable,Bachelor,Female,46
44,17,14,12,Not applicable,Junior college,Male,45
67,6,5,6,Not applicable,Lt high school,Female,37
70,16,14,14,Not applicable,Graduate,Female,74
27,16,16,16,Not applicable,Bachelor,Female,65
30,18,16,16,18,Graduate,Female,72
61,16,9,9,16,High school,Male,72
30,16,18,20,Not applicable,Bachelor,Male,72
38,16,16,12,18,Bachelor,Male,62
27,16,Not applicable,16,Not applicable,Bachelor,Female,53
67,15,8,8,13,Junior college,Female,51
45,16,14,16,Not applicable,Bachelor,Male,36
68,14,12,12,12,Junior college,Female,53
18,14,Not applicable,16,Not applicable,High school,Female,48
77,14,Don't know,12,Not applicable,High school,Female,63
78,16,15,12,Not applicable,Bachelor,Female,38
61,16,16,16,16,Bachelor,Female,62
72,12,12,12,16,High school,Male,55
89 or older,12,Don't know,0,Not applicable,High school,Female,0
75,19,Not applicable,16,Not applicable,Bachelor,Female,61
48,15,12,12,17,Bachelor,Male,63
48,16,14,16,16,Graduate,Female,69
41,16,16,17,Not applicable,Bachelor,Female,17
30,16,16,16,Not applicable,Bachelor,Female,65
29,20,16,16,Not applicable,Graduate,Female,74
38,14,Don't know,12,16,Junior college,Male,44
76,14,14,4,Not applicable,High school,Female,61
55,13,Not applicable,Don't know,Not applicable,High school,Female,25
28,18,18,20,Not applicable,Graduate,Male,53
18,9,Don't know,Not applicable,Not applicable,Lt high school,Female,0
24,17,19,19,Not applicable,Graduate,Female,74
34,0,12,12,18,Lt high school,Male,48
77,16,16,12,20,High school,Female,38
89 or older,12,12,12,Not applicable,High school,Male,53
69,19,8,12,20,Graduate,Male,63
70,12,12,12,Not applicable,High school,Male,70
71,16,12,12,12,Bachelor,Female,47
34,16,16,16,Not applicable,Bachelor,Male,38
77,12,Don't know,Don't know,Not applicable,High school,Female,0
20,12,12,11,Not applicable,High school,Female,31
38,3,0,0,5,Lt high school,Female,22
29,12,12,Not applicable,Not applicable,High school,Female,25
69,15,12,11,12,High school,Male,35
36,11,11,9,Not applicable,High school,Female,48
43,14,16,10,16,High school,Female,54
64,13,Not applicable,16,Not applicable,High school,Female,48
53,13,8,14,14,High school,Male,38
69,15,8,8,18,High school,Female,35
